id,time,strangerhead_prop_maskon,strangerhead_prop_maskoff
7102,39,0,1
7102,40,0,1
7102,41,0.233333333,1
7102,42,1,1
7102,43,1,1
7102,44,1,1
7102,45,0.833333333,1
7102,46,0.428571429,1
7102,47,1,1
7102,48,1,1
7102,49,1,1
7102,50,1,1
7102,51,1,1
7102,52,0.448275862,0.6
7102,53,0.833333333,0.866666667
7102,54,0.833333333,0.633333333
7102,55,0.703703704,0
7102,56,1,0.866666667
7102,57,1,0.8
7102,58,0.733333333,0.166666667
7102,59,1,0.966666667
7102,60,1,0.785714286
7102,61,1,0
7106,1,0,0
7106,2,0,0
7106,3,0,1
7106,4,0,1
7106,5,0,0.153846154
7106,6,0,0.185185185
7106,7,0,0.966666667
7106,8,0,0.791666667
7106,9,0,0
7106,10,0,0
7106,11,0,0
7106,12,0,0
7106,13,0,0
7106,14,0,0
7106,15,0.375,0
7106,16,0.724137931,1
7106,17,0,1
7106,18,0.066666667,1
7106,19,0,0.727272727
7106,20,0.466666667,1
7106,21,0.033333333,1
7106,22,0,1
7106,23,0,1
7106,24,0.933333333,1
7106,25,0.166666667,1
7106,26,0.28,1
7106,27,0,1
7106,28,0.25,0.88
7106,29,0,1
7106,30,0,1
7106,31,0,1
7106,32,0,1
7106,33,0,1
7106,34,0,1
7106,35,0,NA
7106,36,NA,0
7106,37,0,NA
7106,38,NA,0
7106,39,0,0
7106,40,0,1
7106,41,0,0.166666667
7106,42,NA,0
7106,43,0,0
7106,44,0,0
7106,45,0,0
7106,46,0,0
7106,47,0,0
7109,1,0,NA
